left-profile	left-symbol	right-profile	right-symbol	kind	left-member	right-member
vanilla	fire/encounter2	gs5r3	fire/quest/encounter2	encounter	gs\dungeons\fire\encounter2.gs	gs\dungeons\fire\quest\encounter2.gs
vanilla	fire/encounter2alt	gs5r3	fire/quest/encounter2alt	encounter	gs\dungeons\fire\encounter2alt.gs	gs\dungeons\fire\quest\encounter2alt.gs
vanilla	fire/encounter3	gs5r3	fire/quest/encounter3	encounter	gs\dungeons\fire\encounter3.gs	gs\dungeons\fire\quest\encounter3.gs
vanilla	fire/encounter4	gs5r3	fire/quest/encounter4	encounter	gs\dungeons\fire\encounter4.gs	gs\dungeons\fire\quest\encounter4.gs
vanilla	fire/encounter4a	gs5r3	fire/quest/encounter4a	encounter	gs\dungeons\fire\encounter4a.gs	gs\dungeons\fire\quest\encounter4a.gs
vanilla	fire/encounter4b	gs5r3	fire/quest/encounter4b	encounter	gs\dungeons\fire\encounter4b.gs	gs\dungeons\fire\quest\encounter4b.gs
vanilla	fire/encounter4c	gs5r3	fire/quest/encounter4c	encounter	gs\dungeons\fire\encounter4c.gs	gs\dungeons\fire\quest\encounter4c.gs
vanilla	fire/encounter5	gs5r3	fire/quest/encounter5	encounter	gs\dungeons\fire\encounter5.gs	gs\dungeons\fire\quest\encounter5.gs
vanilla	fire/encounter6	gs5r3	fire/quest/encounter6	encounter	gs\dungeons\fire\encounter6.gs	gs\dungeons\fire\quest\encounter6.gs
vanilla	fire/encounter7	gs5r3	fire/quest/encounter7	encounter	gs\dungeons\fire\encounter7.gs	gs\dungeons\fire\quest\encounter7.gs
vanilla	fire/encounter8	gs5r3	fire/quest/encounter8	encounter	gs\dungeons\fire\encounter8.gs	gs\dungeons\fire\quest\encounter8.gs
vanilla	fire/firecaves2	gs5r3	fire/quest/firecaves2	encounter	gs\dungeons\fire\firecaves2.gs	gs\dungeons\fire\quest\firecaves2.gs
vanilla	orccave	gs5r3	earth/orccave	encounter	gs\dungeons\orccave.gs	gs\dungeons\earth\orccave.gs
vanilla	order/encounter1	gs5r3	order/quest/encounter1	encounter	gs\dungeons\order\encounter1.gs	gs\dungeons\order\quest\encounter1.gs
