name	uses	class	broad-candidate	operator-entry-point
either_impplayer	2	script-definition	no	-
el	12	script-definition	no	-
element-id	2	script-definition	no	-
element_in_array?	1	script-definition	no	-
eleprot	1	unclassified-residue	no	-
elev	4	script-definition	no	-
elev_button	1	unclassified-residue	no	-
elev_highlight_dood	1	unclassified-residue	no	-
elevate?	2	script-definition	no	-
elevate_dood	1	unclassified-residue	no	-
eliminate_resource_negatives	9	script-definition	no	-
elocation	2	script-definition	no	-
elven_chain	7	script-definition	no	-
ematk	1	script-definition	no	-
ematkack_1	3	script-definition	no	-
ematkack_2	1	script-definition	no	-
embgolg	6	script-definition	no	-
embrace_type	1	unclassified-residue	no	-
emdie	1	script-definition	no	-
emergency_mercenaries	1	script-definition	no	-
emergency_override?	14	script-definition	no	-
emmov	1	script-definition	no	-
emmovack_1	3	script-definition	no	-
emmovack_2	1	script-definition	no	-
empathy	17	script-definition	no	-
empire_crystals_delta	3	unclassified-residue	no	-
empire_crystals_string	2	unclassified-residue	no	-
empire_fame_delta	3	unclassified-residue	no	-
empire_fame_string	2	unclassified-residue	no	-
empire_food_delta	3	unclassified-residue	no	-
empire_food_string	2	unclassified-residue	no	-
empire_gold_delta	3	unclassified-residue	no	-
empire_gold_string	2	unclassified-residue	no	-
empire_initiates_string	3	unclassified-residue	no	-
empty_seats	6	unclassified-residue	no	-
emrng	1	script-definition	no	-
emselack_1	3	script-definition	no	-
emselack_2	1	script-definition	no	-
enableallspells	1	native-host-call	yes	0x004f0640
enablearrowkeys	1	native-host-call	yes	0x005047b0
enablehotkeys	27	native-host-call	yes	0x004b2fd0
enablemap	82	native-host-call	yes	0x00486b30
enc_arrow_xywh	12	script-definition	no	-
enc_button1	1	unclassified-residue	no	-
enc_button1_text	2	script-definition	no	-
enc_button2	1	unclassified-residue	no	-
enc_button2_text	2	script-definition	no	-
enc_button3	1	unclassified-residue	no	-
enc_button3_text	2	script-definition	no	-
enc_button4	1	unclassified-residue	no	-
enc_button4_text	2	script-definition	no	-
enc_down_button	6	script-definition	no	-
enc_down_button_frame	5	script-definition	no	-
enc_downd_doodad	5	script-definition	no	-
enc_downd_xywh	4	script-definition	no	-
enc_downn_doodad	5	script-definition	no	-
enc_downn_xywh	4	script-definition	no	-
enc_message_buffer	2	script-definition	no	-
enc_num	2	script-definition	no	-
enc_pr	1	script-definition	no	-
enc_setup	161	script-definition	no	-
enc_text	1	script-definition	no	-
enc_type	2	script-definition	no	-
enc_up_button	6	script-definition	no	-
enc_up_button_frame	5	script-definition	no	-
enc_upd_doodad	5	script-definition	no	-
enc_upd_xywh	4	script-definition	no	-
enc_upn_doodad	5	script-definition	no	-
enc_upn_xywh	4	script-definition	no	-
encode_army	1	script-definition	no	-
encode_artifact	3	script-definition	no	-
encode_property	1	script-definition	no	-
encode_spell	3	script-definition	no	-
encode_unit	2	script-definition	no	-
encodebarter	221	native-host-call	yes	0x00433380
encoded_data	1	script-definition	no	-
encounter	1	script-definition	no	-
encounter_attack_text	1	script-definition	no	-
encounter_autocalc_or_fight_dlg_dict	1	script-definition	no	-
encounter_barter_dlg_dict	1	script-definition	no	-
encounter_button	1	unclassified-residue	no	-
encounter_continue_dlg_dict	2	script-definition	no	-
encounter_crystals	16	script-definition	no	-
encounter_dialog	455	script-definition	no	-
encounter_dlg_dict	1	script-definition	no	-
encounter_enter_retreat_dlg_dict	5	script-definition	no	-
encounter_enter_text	106	script-definition	no	-
encounter_enter_text2	19	script-definition	no	-
encounter_enter_text3	3	script-definition	no	-
encounter_exit_text	113	script-definition	no	-
encounter_exit_text2	3	script-definition	no	-
encounter_fight_dlg_dict	1	script-definition	no	-
encounter_food	24	script-definition	no	-
encounter_gold	27	script-definition	no	-
encounter_great_temple_dlg_dict	5	script-definition	no	-
encounter_type	136	script-definition	no	-
encountereditbox	1	unclassified-residue	no	-
encounterlevel	4	script-definition	no	-
encountername	4	script-definition	no	-
encounterselector	1	unclassified-residue	no	-
end	7592	language-primitive	yes	0x004ca110
end_of_turn?	1	script-definition	no	-
end_sb_context	19	script-definition	no	-
end_scenario_group	12	script-definition	no	-
end_unit_definition	163	script-definition	no	-
endcombatproc	1	native-host-call	yes	0x004e33c0
endscreens	19	unclassified-residue	no	-
endturn	5	native-host-call	yes	0x004e1d10
enemy_army	9	script-definition	no	-
enemy_id	17	script-definition	no	-
enemy_leader	7	script-definition	no	-
enemywizard	3	script-definition	no	-
enforce_dungeon_count	1	script-definition	no	-
enforce_dungeon_fraction	1	script-definition	no	-
enough_resources?	2	script-definition	no	-
enstack_barracks	3	script-definition	no	-
enstack_boats	3	script-definition	no	-
ent	9	script-definition	no	-
entangle	16	script-definition	no	-
entangle_aura	1	unclassified-residue	no	-
enter_barrow_level	7	script-definition	no	-
enter_barter_callback	2	native-host-call	yes	0x004d8420
enter_building_callback	2	native-host-call	yes	0x004d8180
enter_button	2	unclassified-residue	no	-
enter_combat_callback	2	native-host-call	yes	0x004d81f0
enter_dungeon?	2	script-definition	no	-
enter_gt_callback	2	native-host-call	yes	0x004d8340
enter_library_callback	2	native-host-call	yes	0x004d82d0
enter_meter_filename	14	script-definition	no	-
enter_text	1	script-definition	no	-
enter_town_callback	2	native-host-call	yes	0x004d8110
enterbuilding	2	native-host-call	yes	0x0043f6d0
enterbuildingcommand	4	native-host-call	yes	0x00422460
enternetgameselscreen	2	native-host-call	yes	0x004b5d40
enternetpikfaithscreen	1	native-host-call	yes	0x004b5d00
enternetspscreen	1	native-host-call	yes	0x004b5cd0
entersprite	7	native-host-call	yes	0x0043f870
entry_text_array	1	script-definition	no	-
enumactiveplayers	6	native-host-call	yes	0x00484fd0
enumaiterrainsprites	8	native-host-call	yes	0x004fd280
