name	entry_point	behaviour	boundary	instructions	decoded_extent_bytes	arity	arity_candidates	nominal_arity	declared_arity	arity_agrees	loop_carried_operands	operand_state_cap_hit	helper_pops	helper_pushes	inline_pops	inline_pushes	calls	call_targets	tail_calls	indirect_calls	virtual_call_slots	globals_read	constant_refs	globals_written	pointer_write_addresses	global_addresses	constant_addresses	string_refs	import_kinds_at_depth	state_write_depth	calls_mutating_method	direct_imports
a_u_to_au	0x004e5c40	unknown	complete	110	356	-	0,1,2	2	2	yes	no	no	0	0	2	1	4	0x4026a0,0x404ab0,0x4d4550,0x5394a0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
abracadabra	0x004ac0b0	reads-state	complete	112	363	-	0,1,2	2	2	yes	no	no	0	0	2	1	5	0x4026a0,0x404ab0,0x4abec0,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@3,memory@5,thread@2,window-input@3,time@3,other@3	3	yes	-
abs	0x004cbfa0	floating-point	complete	77	15207	-	0,1	1	1	yes	no	no	0	0	1	1	1	0x4d4550	0	0	-	0	1	0	-	-	0x54dd20	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
actual2relative	0x0045b010	reads-state	complete	119	377	-	0,1,2	2	2	yes	no	no	0	0	2	2	4	0x4026a0,0x404ab0,0x45a830,0x4d4550	0	0	-	1	0	0	-	0x579458	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
add	0x004ca900	floating-point	complete	168	521	-	0,1,2	2	2	yes	no	no	0	3	2	0	3	0x41d1d0,0x4d4550,0x5394a0	0	0	-	0	2	0	-	-	0x54dd10,0x54dd18	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
addambientsound	0x0047ad80	reads-state	complete	90	286	-	0,1,2	2	2	yes	no	no	0	0	2	0	3	0x47ac30,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x585b94	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addartifacttowonlist	0x00428920	reads-state	complete	88	268	-	0,1,2	2	2	yes	no	no	1	0	1	0	6	0x41bf10,0x428840,0x4288e0,0x4d41c0,0x4d4550,0x5394a0	0	0	-	1	2	0	-	0x5aa12c	0x555d78,0x555da0	2	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addauratype	0x0042e290	reads-state	complete	178	552	-	0,1,2,3,4,5,6	6	6	yes	no	no	1	0	5	1	7	0x4026a0,0x404ab0,0x40adb0,0x42dcc0,0x42e160,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5cd334	0x555eb4	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addbestetaattackrequest	0x00521660	reads-state	complete	182	520	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	5	0x4026a0,0x404ab0,0x437310,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5ccedc	0x573e68	1	file-io@5,archive@4,memory@5,thread@2,window-input@2,time@2,other@2	2	yes	-
addblankitem	0x00490b60	unknown	complete	38	120	1	1	1	1	yes	no	no	0	0	0	1	4	0x48d840,0x4906d0,0x4d41c0,0x4d4550	0	0	-	0	1	0	-	-	0x55c478	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addbuilding	0x0043cca0	reads-state	complete	271	860	-	0,1,2,3,4,5,6,7	7	5	NO	no	no	3	0	4	0	7	0x4026a0,0x404ab0,0x40adb0,0x43b990,0x43ba50,0x43c480,0x4d4550	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
addbuildinginfo	0x0043c6a0	mutates-state	complete	292	894	-	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	15	6	NO	no	no	10	0	3	0	9	0x4026a0,0x404ab0,0x40adb0,0x41da00,0x43be40,0x43c390,0x43d6f0,0x43da90,0x43dc30	0	0	-	2	1	1	-	0x579088,0x579088,0x5cd310	0x556580	1	file-io@6,archive@5,memory@6,thread@5,window-input@3,time@3,other@3	0	yes	-
addcapitol	0x0044f550	file-or-resource-io	complete	156	490	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	4	0x4026a0,0x404ab0,0x44ecf0,0x4d4550	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@1	2	yes	-
addchildbuilding	0x0043fdb0	reads-state	complete	248	811	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	7	0x4026a0,0x404ab0,0x43b990,0x43ba50,0x43c480,0x482ac0,0x4d4550	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
addcitymod	0x00453360	mutates-state	complete	176	537	-	1,2,3,4,5,6,7,8,9	9	2	NO	no	no	8	0	0	0	6	0x4026a0,0x404ab0,0x40adb0,0x451a70,0x452fc0,0x4d4550	0	0	-	1	0	1	-	0x5792fc,0x5792fc	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
addclosestarmyrequest	0x00521870	reads-state	complete	121	374	-	0,1,2,3,4	4	4	yes	no	no	1	0	3	0	4	0x41be40,0x437380,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5ccedc	-	0	file-io@5,archive@5,memory@6,thread@2,window-input@3,time@3,other@3	3	yes	-
adddirtyregion	0x00476080	reads-state	complete	156	482	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	4	0x4026a0,0x404ab0,0x476010,0x4d4550	0	0	-	1	0	0	-	0x5a79f0	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addextramilitaryunitnow	0x004866e0	file-or-resource-io	complete	248	747	-	1,2,3,4,5,6	6	3	NO	no	no	5	0	1	2	9	0x4026a0,0x404ab0,0x40adb0,0x41be40,0x480130,0x485080,0x4d41c0,0x4d4550,0x52b560	0	0	-	4	1	0	-	0x5aa12c,0x5cd18c,0x5cd2f0,0x5cd2f4	0x55b4a8	1	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@1	1	yes	-
addfaithselection	0x00454800	reads-state	complete	240	693	-	0,1,2,3,4,5,6	6	5	NO	no	no	2	0	4	0	6	0x4026a0,0x404ab0,0x40adb0,0x4546e0,0x454780,0x4d4550	0	0	-	3	0	0	-	0x5aa1dc,0x5cd2f0,0x5cd2f4	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addfollower	0x0047dec0	reads-state	complete	208	566	-	1,2,3,4,5,6,7	7	1	NO	no	no	7	1	0	1	9	0x4026a0,0x404ab0,0x40adb0,0x41d1d0,0x47cc00,0x482ac0,0x4a7d50,0x4d41c0,0x4d4550	0	1	-	2	2	0	-	0x5aa12c,0x5ae958	0x55b130,0x55b14c	2	file-io@5,archive@3,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addhelppanel	0x00486f00	reads-state	complete	63	192	-	0,1	1	1	yes	no	no	0	0	1	0	3	0x486c50,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5aa1f0	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addhotkey	0x0049a5d0	reads-state	complete	137	491	-	0,1,2,3	3	3	yes	no	no	0	0	3	0	7	0x4026a0,0x404ab0,0x49a340,0x49a500,0x4d4550,0x51bc30,0x5394a0	0	0	-	1	0	0	-	0x584cc4	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
additem	0x00490be0	reads-state	complete	230	639	-	0,1,2,3,4,5,6,7	7	5	NO	no	no	3	1	4	0	8	0x4026a0,0x404ab0,0x40adb0,0x41d1d0,0x48d970,0x4d41c0,0x4d4550,0x5005f0	0	0	-	1	6	0	-	0x584ae8	0x55c384,0x55c484,0x55c494,0x55c4b4,0x55c4d8,0x55c4fc	6	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addmissiletype	0x004af640	reads-state	complete	141	449	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	1	6	0x4026a0,0x404ab0,0x4af120,0x4af4d0,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5cd2f8	0x55ccd4	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addmounttype	0x004b0ff0	reads-state	complete	101	343	-	0,1,2,3	3	3	yes	no	no	0	0	3	1	4	0x4b0a10,0x4d41c0,0x4d4550,0x50d140	0	0	-	1	1	0	-	0x5cd328	0x55cd9c	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addplayitem	0x00464b40	reads-state	complete	101	346	-	0,1,2	2	2	yes	no	no	0	0	2	0	2	0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5577c8	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
addpromise	0x0050afa0	unknown	complete	211	583	-	0,1,2,3,4,5,6	6	3	NO	no	no	4	0	2	0	6	0x4026a0,0x404ab0,0x40adb0,0x4d41c0,0x4d4550,0x50a430	0	0	-	0	2	0	-	-	0x57399c,0x5739bc	2	file-io@5,archive@2,memory@5,thread@4,window-input@2,time@2,other@2	1	yes	-
addquest	0x004c43e0	file-or-resource-io	complete	94	294	-	0,1,2	2	2	yes	no	no	0	0	2	0	4	0x4c3b60,0x4c3de0,0x4d4550,0x5394a0	0	0	-	2	0	0	-	0x5aeedc,0x5cd2e0	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addquestdefinition	0x004c4150	reads-state	complete	89	290	-	0,1	1	1	yes	no	no	0	0	1	2	2	0x4c3b20,0x4d4550	0	0	-	1	0	0	-	0x5cd2e0	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addreferencepalette	0x004b9f60	reads-state	complete	77	250	-	0,1	1	1	yes	no	no	0	0	1	2	2	0x4b9e20,0x4d4550	0	0	-	1	0	0	-	0x5cd34c	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
addsatellite	0x0043fa10	file-or-resource-io	complete	293	928	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	11	0x4026a0,0x404ab0,0x43b990,0x43ba50,0x43c500,0x482ac0,0x4a51c0,0x4a8960,0x4d41c0,0x4d4550,0x4fbe60	0	0	-	3	2	0	-	0x5aa12c,0x5ae958,0x5ae974	0x556688,0x5566a0	2	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@1	1	yes	-
addsoundfx	0x00479140	reads-state	complete	61	211	-	0,1	1	1	yes	no	no	0	0	1	1	2	0x478070,0x4d4550	0	0	-	1	0	0	-	0x5863bc	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
addspelldef	0x004f01b0	reads-state	complete	248	803	-	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	16	10	NO	no	yes	3	1	7	0	10	0x4026a0,0x404ab0,0x40adb0,0x41d1d0,0x43da90,0x4d4550,0x4efcd0,0x4efd60,0x4efff0,0x4f2050	0	0	-	1	0	0	-	0x5aee6c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
addspelleffect	0x004f0a10	reads-state	complete	161	515	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	5	0x4026a0,0x404ab0,0x4a51c0,0x4d4550,0x4f0780	0	0	-	3	0	0	-	0x584c1c,0x5aa12c,0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
addspriteunit	0x004ed4f0	file-or-resource-io	complete	158	495	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	4	0x4026a0,0x404ab0,0x4d4550,0x4ecdf0	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@1	1	yes	-
addspriteunitnow	0x004ed8d0	file-or-resource-io	complete	177	537	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	1	4	0x4026a0,0x404ab0,0x4d4550,0x4ecdf0	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@1	1	yes	-
addterrainsprite	0x0050d430	file-or-resource-io	complete	131	408	-	0,1,2,3	3	3	yes	no	no	0	0	3	0	5	0x4026a0,0x404ab0,0x4d4550,0x50d850,0x5394a0	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@1	2	yes	-
addterrainspritetype	0x0050d2a0	reads-state	complete	87	307	-	0,1	1	1	yes	no	no	0	0	1	2	5	0x4d41c0,0x4d4550,0x50cdf0,0x50ce40,0x50d140	0	0	-	1	1	0	-	0x5cd304	0x573ac4	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	1	yes	-
addtexturepage	0x0046a360	operand-only	complete	41	145	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
addtobarter	0x00435f80	reads-state	complete	113	362	-	0,1,2	2	2	yes	no	no	0	0	2	1	5	0x4026a0,0x404ab0,0x435670,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x584cd4	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
addtogroup	0x00498d10	file-or-resource-io	complete	127	351	-	0,1,2	2	2	yes	no	no	0	0	2	0	7	0x4026a0,0x404ab0,0x482ac0,0x498500,0x498630,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5aa12c	0x555960	1	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
addunit	0x00486170	file-or-resource-io	complete	245	706	-	0,1,2,3,4,5	5	5	yes	no	no	0	0	5	0	5	0x4026a0,0x404ab0,0x480130,0x4d41c0,0x4d4550	0	0	-	3	2	0	-	0x5aa12c,0x5cd2f0,0x5cd2f4	0x55b488,0x55b4a8	2	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@1	1	yes	-
addunitmodifier	0x005287f0	unknown	complete	261	831	-	0,1,2,3,4,5,6,7,8	8	6	NO	no	no	4	0	4	0	9	0x4026a0,0x404ab0,0x40adb0,0x41bf10,0x41dc40,0x4d4550,0x526bf0,0x526c10,0x526fe0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	1	no	-
addunitnow	0x00486440	file-or-resource-io	complete	223	662	-	0,1,2,3,4,5	5	2	NO	no	no	4	0	1	2	7	0x4026a0,0x404ab0,0x40adb0,0x480130,0x485080,0x4d41c0,0x4d4550	0	0	-	3	1	0	-	0x5aa12c,0x5cd2f0,0x5cd2f4	0x55b4a8	1	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@1	1	yes	-
addvirtualunit	0x0044d3a0	reads-state	complete	135	440	-	0,1,2	2	2	yes	no	no	0	0	2	1	8	0x4026a0,0x404ab0,0x4163a0,0x416450,0x4d4550,0x526e40,0x526e90,0x529200	0	0	-	2	0	0	-	0x5869f4,0x5869f8	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
adjustbartertoratio	0x004352d0	reads-state	complete	112	361	-	0,1,2	2	2	yes	no	no	0	0	2	1	5	0x4026a0,0x404ab0,0x435010,0x4d4550,0x5394a0	0	0	-	1	1	0	-	0x584cd4	0x54d4b8	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
aimedattack	0x004681c0	reads-state	complete	120	348	-	0,1,2	2	2	yes	no	no	0	0	2	0	5	0x4026a0,0x404ab0,0x405130,0x482ac0,0x4d4550	0	0	-	3	0	0	-	0x5aa12c,0x5cd2f0,0x5cd2f4	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
aimedattackorder	0x00464120	reads-state	complete	110	308	-	0,1,2	2	2	yes	no	no	0	0	2	0	6	0x4026a0,0x404ab0,0x405130,0x482ac0,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5aa12c	0x5577cc	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
airstrengthinregion	0x0051eb80	unknown	complete	126	379	-	0,1,2	2	2	yes	no	no	0	0	2	2	6	0x4026a0,0x404ab0,0x4d41c0,0x4d4550,0x51ca10,0x51d8e0	0	0	-	0	1	0	-	-	0x573e7c	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
allywarningcallback	0x004d8730	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5aa190,0x5aa194	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
aload	0x004cbfb0	operand-only	complete	83	6921	-	0,1	1	1	yes	no	no	0	0	1	2	1	0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
ambientlight	0x0046b310	reads-state	complete	160	503	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	5	0x4026a0,0x404ab0,0x469cd0,0x4d4550,0x504ce0	0	0	-	2	0	0	-	0x584ae8,0x5876d0	-	0	file-io@5,archive@2,memory@6,thread@3,graphics@6,window-input@3,time@2,other@2	1	yes	-
and	0x004cbea0	unknown	complete	110	9274	-	0,1,2	2	2	yes	no	no	0	0	2	1	4	0x4026a0,0x404ab0,0x4d4550,0x5394a0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
animatearmy	0x0041b5b0	reads-state	complete	59	187	-	0,1	1	1	yes	no	no	0	0	1	0	3	0x482ac0,0x4d4550,0x52d140	0	1	-	3	0	0	-	0x5a7d8c,0x5a7d90,0x5aa12c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
animation	0x004dc380	file-or-resource-io	complete	220	636	-	0,1,2,3,4,5	5	5	yes	no	no	0	0	5	1	4	0x4026a0,0x404ab0,0x492030,0x4d4550	0	0	-	1	0	0	-	0x5a7b50	-	0	file-io@5,archive@1,memory@6,thread@4,window-input@3,time@3,other@1	3	yes	-
any_en_route?	0x004d6740	reads-state	complete	110	315	-	0,1	1	1	yes	no	no	0	0	1	2	6	0x4026a0,0x404ab0,0x4d41c0,0x4d4550,0x4f6000,0x4fbe60	0	0	-	1	1	0	-	0x5ae974	0x572584	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
anyartifactplayerdontknow?	0x004a1c80	reads-state	complete	115	341	-	0,1,2	2	2	yes	no	no	0	0	2	2	4	0x4026a0,0x404ab0,0x4a0c00,0x4d4550	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
anythingat	0x004e6520	reads-state	complete	131	380	-	0,1,2	2	2	yes	no	no	0	0	2	1	5	0x4026a0,0x404ab0,0x4a51c0,0x4a8300,0x4d4550	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
anythinglocation	0x004e6890	reads-state	complete	86	266	-	0,1	1	1	yes	no	no	0	0	1	2	5	0x404ab0,0x4d41c0,0x4d4550,0x4f6000,0x5394a0	0	0	-	1	1	0	-	0x5ae974	0x572584	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
anythingowner	0x004e6780	reads-state	complete	88	270	-	0,1	1	1	yes	no	no	0	0	1	2	5	0x404ab0,0x4d41c0,0x4d4550,0x4f6000,0x5394a0	0	1	-	1	1	0	-	0x5ae974	0x572584	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
armiesaveragespeed	0x00466430	reads-state	complete	33	107	0	0	0	0	yes	no	no	0	0	0	1	2	0x406e10,0x4d4550	0	0	-	2	0	0	-	0x5577c8,0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
armiesstrengthgreaterthan	0x00467290	reads-state	complete	90	274	-	0,1	1	1	yes	no	no	0	0	1	2	4	0x404ab0,0x406810,0x4d4550,0x5394a0	0	0	-	4	0	0	-	0x5577c8,0x5aa7d4,0x5aadb0,0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
armiesstrengthlessthan	0x00467170	reads-state	complete	90	273	-	0,1	1	1	yes	no	no	0	0	1	2	4	0x404ab0,0x406810,0x4d4550,0x5394a0	0	0	-	4	0	0	-	0x5577c8,0x5aa7d4,0x5aadb0,0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
army_en_route?	0x004d6880	reads-state	complete	117	330	-	0,1	1	1	yes	no	no	0	0	1	2	6	0x4026a0,0x404ab0,0x4d41c0,0x4d4550,0x4f6000,0x4fbe60	0	0	-	2	1	0	-	0x5ae974,0x5cc9d4	0x572584	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
armyactual2relative	0x0045b190	reads-state	complete	154	487	-	0,1,2,3	3	3	yes	no	no	0	0	3	2	4	0x4026a0,0x404ab0,0x45aa30,0x4d4550	0	0	-	1	0	0	-	0x579458	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
armyaddunittype	0x0044d1b0	unknown	complete	143	487	-	0,1,2,3	3	3	yes	no	no	1	0	2	1	9	0x4026a0,0x404ab0,0x4163a0,0x41be40,0x4d4550,0x526e40,0x526e90,0x526ea0,0x529200	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	1	no	-
armyanim	0x0041f840	reads-state	complete	104	311	-	0,1,2	2	2	yes	no	no	0	0	2	0	3	0x41eb70,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	yes	-
armyat	0x004845e0	reads-state	complete	103	317	-	0,1,2	2	2	yes	no	no	0	0	2	1	5	0x4026a0,0x404ab0,0x4a51c0,0x4a8300,0x4d4550	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
armybatervalue	0x004246e0	unknown	complete	29	99	1	1	1	1	yes	no	no	1	0	0	1	3	0x41be40,0x421960,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	no	-
armybeginturnproc	0x004e3510	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7d2c,0x5a7d30	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
armycanmove?	0x00426e10	unknown	complete	98	372	-	0,1,2	2	2	yes	no	no	1	0	1	1	8	0x411610,0x4117f0,0x411910,0x415170,0x41be40,0x420970,0x4d4550,0x5394a0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	no	-
armycanrally?	0x004e2690	operand-only	complete	32	109	1	1	1	1	yes	no	no	1	0	0	1	2	0x41be40,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armycanspitweb?	0x004e28f0	unknown	complete	32	105	1	1	1	1	yes	no	no	1	0	0	1	3	0x407be0,0x41be40,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armycantransferartifacts?	0x004e2850	unknown	complete	61	156	1	1	1	1	yes	no	no	1	0	0	2	3	0x41be40,0x427720,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armycastbreath?	0x004e2700	unknown	complete	32	105	1	1	1	1	yes	no	no	1	0	0	1	3	0x407bb0,0x41be40,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armychangedproc	0x004e2620	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7bf4,0x5a7bf8	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
armycouldbenefitfromspecialbuilding?	0x00449990	unknown	complete	43	129	-	1,2	2	2	yes	no	no	2	0	0	1	4	0x41be40,0x4409e0,0x4498d0,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armydex	0x00507540	unknown	complete	37	119	1	1	1	1	yes	no	no	1	0	0	1	3	0x41be40,0x4d4550,0x527e90	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armydieproc	0x004e2f10	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7d14,0x5a7d18	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
armyexpense	0x004d7c90	unknown	complete	117	359	-	1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76	-	2	yes	yes	yes	1	0	0	3	5	0x41be40,0x4c1cf0,0x4d4550,0x522350,0x525f10	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@4,memory@6,thread@4,window-input@3,time@2,other@3	1	no	-
armyflee	0x00466a00	reads-state	complete	63	192	-	0,1	1	1	yes	no	no	0	0	1	0	3	0x407860,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
armyhasbrain?	0x00410340	unknown	complete	36	111	1	1	1	1	yes	no	no	1	0	0	1	3	0x4102e0,0x41be40,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armyispaused?	0x0041bd40	operand-only	complete	32	104	1	1	1	1	yes	no	no	1	0	0	1	2	0x41be40,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armylevel	0x005074d0	unknown	complete	29	99	1	1	1	1	yes	no	no	1	0	0	1	3	0x41be40,0x4d4550,0x522870	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	2	no	-
armypercenttogrid	0x004e1c60	operand-only	complete	60	167	1	1	1	1	yes	no	no	1	0	0	2	2	0x41be40,0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
armyrelative2actual	0x0045ae20	reads-state	complete	154	487	-	0,1,2,3	3	3	yes	no	no	0	0	3	2	4	0x4026a0,0x404ab0,0x45a620,0x4d4550	0	0	-	1	0	0	-	0x579458	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
