name	entry_point	behaviour	boundary	instructions	decoded_extent_bytes	arity	arity_candidates	nominal_arity	declared_arity	arity_agrees	loop_carried_operands	operand_state_cap_hit	helper_pops	helper_pushes	inline_pops	inline_pushes	calls	call_targets	tail_calls	indirect_calls	virtual_call_slots	globals_read	constant_refs	globals_written	pointer_write_addresses	global_addresses	constant_addresses	string_refs	import_kinds_at_depth	state_write_depth	calls_mutating_method	direct_imports
cleardefenderarmy	0x004e6fd0	reads-state	complete	4	13	0	0	0	0	yes	no	no	0	0	0	0	1	0x4117f0	0	0	-	1	0	0	-	0x5aad68	-	0	-	3	yes	-
cleardialog	0x0048f660	reads-state	complete	61	189	-	0,1	1	1	yes	no	no	0	0	1	0	5	0x48d620,0x4d41c0,0x4d4550,0x5005f0,0x5394a0	0	0	-	1	1	0	-	0x584ae8	0x55c384	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
clearfaithselection	0x00454ac0	mutates-state	complete	41	132	0	0	0	0	yes	no	no	0	0	0	0	3	0x4546e0,0x4b0e00,0x533864	0	0	-	1	1	3	-	0x5aa1dc,0x5aa1dc,0x5aa1e0,0x5aa1e4	0x555130	1	archive@0	0	yes	STORM.dll!#401
cleargroups	0x00498cd0	file-or-resource-io	complete	22	63	0	0	0	0	yes	no	no	0	0	0	0	0	0x4986b0	1	0	-	1	0	0	-	0x5577c8	-	0	archive@1	-	no	-
clearmessages	0x004b5ae0	reads-state	complete	2	10	0	0	0	0	yes	no	no	0	0	0	0	0	0x4b45f0	1	0	-	1	0	0	-	0x5cd358	-	0	file-io@4,archive@2,memory@5,thread@4,other@2	2	no	-
clearquests	0x004c4730	reads-state	complete	18	10	0	0	0	0	yes	no	no	0	0	0	0	0	-	0	0	-	1	0	0	-	0x5aeedc	-	0	-	-	no	-
clearregions	0x004c7640	file-or-resource-io	complete	7	24	0	0	0	0	yes	no	no	0	0	0	0	1	0x4c5ef0	0	0	-	3	0	0	-	0x5ae9c4,0x5ae9c8,0x5aef04	-	0	archive@1,thread@1	-	yes	-
clearscriptoutputfile	0x004d7110	file-or-resource-io	complete	14	42	0	0	0	0	yes	no	no	0	0	0	0	3	0x505110,0x5394d0,0x539610	0	0	-	2	0	0	-	0x556168,0x584ae8	-	0	file-io@1,memory@3,thread@2,other@4	3	yes	-
clearscriptwindow	0x004c9b20	reads-state	complete	12	10	0	0	0	0	yes	no	no	0	0	0	0	0	-	0	0	-	1	0	0	-	0x584d60	-	0	window-input@0	-	no	USER32.dll!SendDlgItemMessageA
clearslots	0x004324e0	reads-state	complete	11	10	0	0	0	0	yes	no	no	0	0	0	0	0	-	0	0	-	1	0	0	-	0x584cd4	-	0	-	-	no	-
clearunitacks	0x00525220	reads-state	complete	169	521	-	0,1,2	2	2	yes	no	no	0	0	2	0	4	0x4026a0,0x404ab0,0x4d4550,0x5394a0	0	0	-	2	0	0	-	0x5cd2f0,0x5cd2f4	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
closecitygate	0x00458be0	reads-state	complete	67	208	-	0,1	1	1	yes	no	no	0	0	1	0	4	0x455850,0x457970,0x4d4550,0x5394a0	0	0	-	2	0	0	-	0x5ae8e8,0x5ae958	-	0	file-io@5,archive@4,memory@6,thread@4,graphics@4,window-input@3,time@3,other@3	1	yes	-
closedialog	0x0048fdd0	reads-state	complete	55	176	-	0,1	1	1	yes	no	no	0	0	1	0	4	0x4d41c0,0x4d4550,0x4fffc0,0x5394a0	0	0	-	1	1	0	-	0x584ae8	0x55c42c	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
closefile	0x004cc100	unknown	complete	51	5319	-	0,1	1	1	yes	no	no	0	0	1	0	2	0x4d4550,0x5394d0	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@3,thread@2,window-input@3,time@3,other@3	3	no	-
closescriptwindow	0x004c9b10	mutates-state	complete	17	10	0	0	0	0	yes	no	no	0	0	0	0	0	0x4753d0	1	0	-	2	0	1	-	0x584ae8,0x584d58,0x584d60	-	0	archive@4,memory@6,thread@4,window-input@0,time@2,other@4	0	yes	USER32.dll!PostMessageA,USER32.dll!ShowWindow
coarsescrollpixels	0x0051ae10	mutates-state	complete	110	348	-	0,1,2	2	2	yes	no	no	0	0	2	0	4	0x4750b0,0x4d41c0,0x4d4550,0x5394a0	0	0	-	3	1	2	-	0x584ae8,0x5878ac,0x5878b0,0x5878bc,0x5878c0	0x573ba0	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	0	yes	-
collectletters	0x004de250	reads-state	complete	167	489	-	0,1,2,3,4	4	4	yes	no	no	0	0	4	0	5	0x4026a0,0x404ab0,0x4932d0,0x4d41c0,0x4d4550	0	0	-	1	1	0	-	0x5a7b50	0x5728a4	1	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
combat_controltarget	0x004e97e0	reads-state	complete	118	333	-	1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33	-	2	yes	yes	yes	1	0	0	2	6	0x407d50,0x41be40,0x4d4550,0x4f6000,0x521e00,0x5228b0	0	0	-	3	0	0	-	0x5ae974,0x5ae98c,0x5ae998	-	0	file-io@5,archive@4,memory@6,thread@4,window-input@3,time@2,other@3	1	yes	-
combat_deadtarget	0x004e9590	reads-state	complete	210	588	-	0,1,2,3	3	3	yes	no	no	1	0	2	2	7	0x4026a0,0x404ab0,0x40adb0,0x4d4550,0x4f6000,0x521e00,0x525e80	0	0	-	3	0	0	-	0x5ae974,0x5ae98c,0x5ae998	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
combat_enumgrouparmies	0x004e8c50	reads-state	complete	180	569	-	0,1,2,3	3	3	yes	no	no	1	0	2	1	10	0x4026a0,0x404ab0,0x407d50,0x41be40,0x41da00,0x420620,0x4d05e0,0x4d4550,0x4e7300,0x4f6000	0	0	-	3	0	0	-	0x5ae974,0x5ae98c,0x5ae998	-	0	file-io@5,archive@3,memory@6,thread@4,window-input@3,time@1,other@3	1	yes	-
combat_get_percent_nonthief	0x004e2310	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7c94,0x5a7c98	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
combat_get_percent_thief	0x004e2380	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7c9c,0x5a7ca0	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
combat_get_percent_thiefindetectingmode	0x004e23f0	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7ca4,0x5a7ca8	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
combat_grouploc	0x004e8e90	reads-state	complete	187	524	-	0,1,2	2	2	yes	no	no	1	0	1	3	8	0x4026a0,0x404ab0,0x407d50,0x41be40,0x420620,0x4d4550,0x4e7300,0x4f6000	0	0	-	3	0	0	-	0x5ae974,0x5ae98c,0x5ae998	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
combat_numgroupinarmy	0x004e8be0	unknown	complete	30	100	1	1	1	1	yes	no	no	1	0	0	1	3	0x41be40,0x4d4550,0x4e7300	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	no	-
combat_playerdeadtarget	0x004e9330	reads-state	complete	211	603	-	0,1,2,3,4	4	2	NO	no	no	3	0	1	2	6	0x4026a0,0x404ab0,0x40adb0,0x4d4550,0x4e91a0,0x4f6000	0	0	-	3	0	0	-	0x5ae974,0x5ae98c,0x5ae998	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
combatformation	0x004997e0	reads-state	complete	145	440	-	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	-	3	yes	yes	yes	0	0	3	1	4	0x4026a0,0x404ab0,0x498cb0,0x4d4550	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
combatmodeproc	0x004e1f90	mutates-state	complete	29	100	-	0,1	1	1	yes	no	no	0	0	1	0	1	0x4d4550	0	0	-	0	0	2	-	0x5a7b94,0x5a7b98	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	0	no	-
combatopponent	0x00464380	reads-state	complete	37	125	0	0	0	0	yes	no	no	0	0	0	2	1	0x4d4550	0	0	-	3	0	0	-	0x5577c8,0x5aa7d4,0x5aadb0	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
combattileset	0x004df370	reads-state	complete	45	154	-	0,1	1	1	yes	no	no	0	0	1	0	2	0x4849a0,0x4d4550	0	0	-	1	0	0	-	0x5aa12c	-	0	file-io@5,archive@4,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
combattime	0x00464f60	reads-state	complete	21	78	0	0	0	0	yes	no	no	0	0	0	1	1	0x4d4550	0	0	-	1	0	0	-	0x5af134	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
combatviewtoworld	0x0045cdb0	reads-state	complete	6	24	0	0	0	0	yes	no	no	0	0	0	0	0	0x45c7b0,0x488540	2	0	-	2	0	0	-	0x5aa12c,0x5ae8c4	-	0	archive@5,thread@6,window-input@4,time@3,other@4	2	yes	-
combinecontainerspots	0x0046e7a0	reads-state	complete	148	454	-	0,1,2,3	3	3	yes	no	no	0	0	3	0	7	0x4026a0,0x404ab0,0x46e970,0x4927f0,0x4d41c0,0x4d4550,0x5394a0	0	0	-	1	2	0	-	0x5a7b50	0x5579f4,0x557a08	2	file-io@5,archive@4,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
compresscontainer	0x0046f250	reads-state	complete	54	171	-	0,1	1	1	yes	no	no	0	0	1	0	4	0x46cfd0,0x4927f0,0x4d4550,0x5394a0	0	0	-	1	0	0	-	0x5a7b50	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	yes	-
conetarget	0x0040a2b0	reads-state	complete	43	136	1	1	1	1	yes	no	no	1	0	0	2	3	0x40a0e0,0x41be40,0x4d4550	0	0	-	1	0	0	-	0x5ae958	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
connectedbyland	0x004e61e0	reads-state	complete	134	403	-	0,1,2	2	2	yes	no	no	0	0	2	1	4	0x4026a0,0x404ab0,0x4c6660,0x4d4550	0	0	-	4	0	0	-	0x5aef04,0x5aef04,0x5aef10,0x5af0bc	-	0	file-io@5,archive@2,memory@6,thread@1,window-input@3,time@3,other@3	3	yes	-
