start	end	bytes	distinct_addresses	operators	operator_names
0x005564b8	0x00556838	896	35	46	addbuildinginfo,addsatellite,assignexperience,buybuilding,buybuildingoffaith,buyunit,canaffordbuilding?,canaffordbuilding_getresourcesinfo,canbuildbuilding?,canstayinside?,canupgradebuilding?,canupgradebuilding_getresourcesinfo,costbuildbuilding,createbuildinginfolist,createbuildingrequirementslist,destroybuilding,enterbuilding,entersprite,enumbuildbuilding,enumchildren,exitbuilding,getbuildingdata,getbuildingparent,getuniteffectivedata,getunittypeeffectivedata,givebuilding,hireunit,hireunitat,satellitegetstrongholdlevel,setbuildinglevel,setbuildingposition,setcitybuildingdata,setcitychildoffsets,setlibraryoffset,setsatellitechildoffsets,setspecialbuildingoffset,setwatchtoweroffset,setwatchtowersightradius,templecanbuildthistype,templegetcity,trainunit,trainunitat,unitcodegettype,upgradebuilding,upgradebuildingcost,upkeepbuildingcost
0x00555710	0x005559c8	696	21	45	addtogroup,armythatdiscovered,canceldiscoveralarm,canceleventalarm,cancelmovealarm,canceltickalarm,cancelturnalarm,championbrainarmyunit,discoveralarm,eventalarm,findeventalarm,getalarmself,getarmybrainname,getarmycombatdisplayoptions,getchampionbrainarg,getchampionbrainavailable,getchampionbrainname,getcurrenttickalarmdata,getcurrentturnalarmdata,getgroupinfo,getunitlevel,ismovingstealthily?,movealarm,neventalarm,nsetarmydata,nsetunitdata,parryorder,playeraveragerangemissile,removechampionbrain,rerunbrain,sendcallbackmessage,sendgameovercallbackmessage,setarmycombatdisplayoptions,setarmydata,setchampionbrain,setchampionbrainarg,setchampionbrainavailable,setcurrenttickalarmdata,setcurrentturnalarmdata,setdiplomaticbrain,setunitdata,tickalarm,turnalarm,whathappenedtoattackerunit,whathappenedtodefenderunit
0x00557734	0x005577cc	152	9	40	addplayitem,aimedattackorder,armiesaveragespeed,armiesstrengthgreaterthan,armiesstrengthlessthan,can_flank_attack?,checkaimissileunittarget,cleargroups,combatopponent,currentplay,enumarmiesingroup,enumarmiesnotuseinplay,getincombatspoils,getintoformation,getmyarmy,getnearestenemyatloc,getnearestenemyatlocchecktargets,getopponentarmy,getplayarmy,isattacker?,isdefender?,isgroupbeingattacked?,isgroupbeingattackedorattacking?,isonlywizardleft?,longestmissilearmy,longmovemerge,longmovemergeat,mycheapestarmy,myfastestarmy,myowner,myslowestarmy,newplay,numarmiesingroup,numturnstoreacharmy,numturnstoreachcity,partialarmystrength,select_new_play,setincombatspoils,setplayarmy,startcombat
0x005876c4	0x00587720	92	6	38	ambientlight,arrow_scroll,calclighttables,cameraorientation,cameraposition,centermilitaryunit,centeron,changetexture,create3dmap,diffuselight,enumbadfaces,faithselect,faithselectcleanup,findlightlevelrange,getxrot,getyrot,getzrot,iscustomleader?,lightorientation,loadlighttables,lomlighttables,map2screen,orthographic,perspective,positionfaithmap,positionmap,rebuild3dmap,resetcombat,rotatemap,rotatex,rotatey,rotatez,savelighttables,scale,scrollmap,setcustomleaderflag,wrappingoff,wrappingon
0x0055c6f4	0x0055c988	660	21	37	changeplayerintelinfo,drawimpframe,enumarmiesingroup,enumimphotspots,enumplayerarmiesingroup,enumplayerknownspells,getarmyinplayergroup,getimphotspot,getintoformation,getlightningdata,getplayerbooleanintelinfodisplaying,getplayergroupintoformation,getplayerintelinfo,getplayerintelinfodisplaying,getstartingline,grantintelspellknowledge,hastreaty?,iknowyouknowspell?,impplayer,isdonegetintoformation?,isgroupbeingattacked?,isgroupbeingattackedorattacking?,numarmiesingroup,numplayerarmiesingroup,playimp,replaceimp,setimpplayeraction,setimpplayerdirection,setimpplayerfacing,setimpplayerframe,setimpplayerimp,setlightningdata,setplayerbooleanintelinfodisplaying,setplayerintelinfo,setplayerintelinfodisplaying,setspecialcombatowner,unsettranslucency
0x005af0b4	0x005af194	224	27	37	cancelendofcombattickalarms,combattime,connectedbyland,connectedbywater,currentscenario,currentturn,disablemap,enablemap,getcombatcountdown,getdifficultylevel,getendcombatquestionproc,getendcombatquestionticks,getexplainluckysurvivorproc,getfaithstartingleadertype,getgocallback,getgocountdown,getnewunitproc,getplayergo,getscenarioprocedure,numregions,numturnstoreachcity,numturnstoreachsprite,reseteoturn,select_new_play,setcombatcountdown,setcombatplacementradius,setcombatretreatradius,setcombatscrollpixels,setdifficultylevel,setendcombatquestionproc,setendcombatquestionticks,setexplainluckysurvivorproc,setfaithstartingleadertype,setgocallback,setnewunitproc,setscenarioprocedure,testvisit
0x005a9dd0	0x005a9ee8	280	21	36	cancelpathballs,center_toolip_quick,disablemap,gethighlightcolor,getminimumdragbox,hidecursor,loadcursorimp,repositionmouse,resettooltip,resettooltiptimer,setcursortype,sethighlightcolor,setminimumdragbox,setpathballfont,setpathindicatordelay,setpathindicators,settooltipborder,settooltipborders,settooltipcolor,settooltipdelay,settooltipfont,settooltipremain,settooltipspriteproc,settooltipspriteproc_editmode,settooltiptimer,setwindowswaitcursorstate,showcursor,showwindowscursor,startdragbox,stopdragbox,stoptooltip,tooltip,tooltip_quick,tooltiptransoff,tooltiptranson,windowswaitcursorsleep
0x005aa644	0x005aa7d4	400	16	33	armiesstrengthgreaterthan,armiesstrengthlessthan,attackerfacing,centermilitaryunit,combatopponent,cpr,createingamemessage,currentcombinedarmy,decmultiplayeroption,enemycombinedarmy,getcurrdisplayingarmy,getincombatspoils,getlosingarmy,getmultiplayeroption,getmultiscenarioname,getmyarmy,getnumaiplayers,getopponentarmy,getwinningarmy,incmultiplayeroption,isattacker?,isplayerattacker?,playeraveragerangemissile,resetnetworking,setchatfont,setfaithpalcallbackproc,setincombatspoils,setleaderdoodadcallbackproc,setmultichatcallbackproc,setmultioptionscallbackproc,setmultiplayeroption,setmultiscenarioname,setunitdata
0x0058676c	0x005867c0	84	18	31	getambientvolume,getbuildingspeechflag,getmusicvolume,getsoundfxvolume,getspeechvolume,interruptsound,loadconfig,loopsoundfx,playmusicnorepeat,playsoundfx,playsoundfxwait,playspeechvol,playunitsoundfx,playvideo,playvideo_stretch,playvideoshutdown,playvoice,presetambientvolume,presetmusicvolume,presetsoundfxvolume,presetspeechvolume,setbuildingspeechflag,setcombatmusicpath,setdefaultbuttonsound,setlastaudiosettings,setplaybacktimer,settimeraccuracy,stopsoundfx,stopvideo,toggle_gman_hotkey,virtualunitselectspeak
0x0055d5e4	0x0055dac4	1248	27	30	autoregions,enumadjacentlocations,enumadjacentregions,enumhistoricevents,flagimp,font,gethistoriceventdata,getleaderlocation,getleadertype,getleaderunittype,getplayeraistatus,getplayerdata,getplayergroupnumberbuffer,getregionowner,getscenarioproperty,indicatepath,maxreferencepalettes,prisonerandescort,setdoubleflagdelta,setheirasleader,setleaderunittype,setpathballtext,setpathindicatorimp,setplayeraistatus,setplayerbars,setplayerdata,setplayerfaith,setplayerflagimp,setregionowner,setscenarioproperty
0x005853ec	0x00585588	412	9	30	fadeoutmusic,interruptsound,issoundplaying,loaddynamicsound,loadstaticsound,lomlighttables,loopsoundfx,modifymood,playambientloop,playambientsfx,playmoodmusic,playmusic,playsoundfx,playsoundfxwait,playspeech,playspeechvol,playunitsoundfx,playvoice,restartlasttune,setambientvolume,setlastaudiosettings,setmusicvolume,setsoundfxvolume,setspeechvolume,smartsound,stopallsoundfx,stopambientloop,stopsoundfx,togglescrollmusic,virtualunitselectspeak
0x00573914	0x00573c58	836	22	29	addpromise,addterrainspritetype,calclighttables,coarsescrollpixels,createtreaty,currentai,enterterrainsprite,enumpromises,findpromise,getattitude,getdiplomaticlevel,getpromisedata,getterrainspritelocation,getterrainspriteowner,getterrainspritetype,getterrainspritetypedata,gettreaty,isconquered?,maxterrainspritetypes,reoccupy,setattitude,setdiplomaticlevel,setterrainspritelocation,setterrainspriteowner,setterrainspritetype,setterrainspritetypedata,terrainspritebartervalue,toptriangle,unloadboat
0x0054dbc0	0x0054dd38	376	7	28	abs,add,atan,cos,cvf,cvr,cvs,div,eq,for,ge,gt,launchmissile,le,lt,mul,ne,print,setcitycombatscale,setelevation,setelevationbrush,setfamefromactions,setmodescale,setplayerdata,sin,sqrt,sub,tan
0x0055c330	0x0055c5c4	660	27	28	addblankitem,additem,cleardialog,closedialog,crop,dialoginfo,dialogposition,drawobject,getcropdata,getfocus,getitem,getremapdata,maxdialogs,modal,modeless,opaque,opendialog,refreshdirty,remap,setactivateprocedure,setbuttonrepeat,setbuttonrepeatintervals,setitem,setitemposition,setmaxitems,setremapdata,translucent,transparent
0x005d1e84	0x005d1e88	4	2	27	createnetworkgame,deselectfaith,enumnetworkcomputers,enumnetworkgames,enumproviders,getcomputername,getmyfaithtype,getproviderbackground,getproviderbuttontexture,ishost,joinnetworkgame,justentered,matchguids,modemcreate,modemdial,netcomputersassigned,netlockgame,networkgamename,numcomputers,providername,requestgame,selectprovider,setcomputername,setproviderbackground,setproviderbuttontexture,thiscomputer,wonisenabled?
0x005787ac	0x00578b47	923	33	26	artifacttype,attackfacingvalue,getarmyleavealonecheck,getarmyplaceholderproc,getcurrentartifactdata,getcurrentartifactvalue,getproposaltext,iscurrentartifactknowntoplayer?,iscurrentartifactwielded?,setarmyleavealonecheck,setarmyplaceholderproc,setbpcproc,setbpoproc,setconfusedimage,setcrystalbartervalueproc,setcurrentartifactdata,setdetectthiefimage,setfoodbartervalueproc,setformation,setgoldbartervalueproc,setinitiatebartervalueproc,setmarketvalueproc,setproposaltext,setstealthseenimage,setthinkingimage,specifycurrentartifact
0x005869dc	0x00586a4c	112	16	25	addvirtualunit,createvirtualarmy,getbarterpoints,getvirtualarmyid,getvirtualgreattemple,getvirtualresources,getvirtualspellknowledge,getvirtualstronghold,getvirtualunitspot,loaddefaultarmy,loadvirtualarmy,mapvirtualunits,playvideo,playvideo_stretch,playvideoshutdown,removevirtualunit,savedefaultarmy,savevirtualarmy,setbarterpoints,setvirtualgreattemple,setvirtualresources,setvirtualspellknowledge,setvirtualstronghold,video_shutdown_callback,virtualunitselectspeak
0x005843e0	0x005844d4	244	31	23	enternetgameselscreen,enternetpikfaithscreen,enternetspscreen,exitmessageproc,exitnetgameselscreen,exitnetpikfaithscreen,exitnetspscreen,getdiplomaticdata,getnegativeresourcesproc,netcomputersassigned,netlog,resetnetworking,set_closewaitnetdialog,set_openwaitnetdialog,setassignleadercallback,setautocombatmode,setchecksumproc,setdiplomaticbrain,setgameselectcallback,setnegativeresourcesproc,setplayergroupnumberoffset,setscenarionameproc,setstatlogproc
0x005d2ca0	0x005d2d5c	188	24	21	getdungeonarmyinstantiateproc,getpromisedata,getterrainspritebartervalueproc,getterrainspritechangeownershipproc,getterrainspritedeltaproc,getterrainspritemapfileproc,getterrainspritescenarioenterproc,getterrainspritesetupprocproc,getterrainspritetilesetproc,modalloop,setarmystealthticksproc,setdungeonarmyinstantiateproc,setpromisebartervalueproc,setterrainspritebartervalueproc,setterrainspritechangeownershipproc,setterrainspritedeltaproc,setterrainspritemapfileproc,setterrainspritescenarioenterproc,setterrainspritesetupprocproc,setterrainspritetilesetproc,settreatybartervalueproc
0x005572ec	0x005575ac	704	15	20	createtemparmy,createvirtualarmy,destroycity,enumchildbuildings,enumpossiblebuildings,faithselect,fileexists,filesize,getcitybuilding,getcityinitiates,getcitymoddata,getcityresourcedelta,loadconfig,nsetcitydata,nsetcityinitiates,savedefaultarmy,setcitydata,setcityinitiates,setcitymoddata,showmaplocation
0x0055b43c	0x0055b578	316	10	20	addextramilitaryunitnow,addunit,addunitnow,formationview,getfaithstartingleadertype,getlatency,getplayerfaith,getplayerrace,getturnaibrain,getturnaidict,loadconfig,locationview,naddunit,predictresources,predictresourcesifneeded,regionview,setdifficultylevel,setfaithstartingleadertype,setlatency,worldview
0x005a8078	0x005a8094	28	5	20	attackorder,cpr,currentscreen,getblockon,getblockunitindex,getcenteronmovement,getcurrdisplayingarmy,getdisplaymode,getunitindex,getzoommode,incombat,inmainview,loadconfig,magicattackorder,resetselectiondisplayingmode,setblockon,setcenteronmovement,setcombatscrollpixels,setcombatselectionbits,setdisplaymode
0x005aad68	0x005aadb0	72	3	20	armiesstrengthgreaterthan,armiesstrengthlessthan,centermilitaryunit,cleardefenderarmy,combatopponent,cpr,currentcombinedarmy,defenderlost?,enemycombinedarmy,getcurrdisplayingarmy,getincombatspoils,getlosingarmy,getwinningarmy,isdefender?,isplayerdefender?,isplayerdefendingcity?,playeraveragerangemissile,preparedefendingcity,setincombatspoils,setunitdata
0x00579274	0x00579458	484	10	19	actual2relative,addcitymod,armyactual2relative,armyrelative2actual,armystopmovingcallback,distractarmyorder,distractorder,getbuttonframepageinfo,getcitymoddata,getterraintypename,movetorefmap,relative2actual,resetcombat,safemovetorefmap,setcitybartervalueproc,setcitymoddata,setfaithcallback,stayputatrefloc,waypointsattack
0x005d2ed0	0x005d2f4c	124	21	18	geteventarmy,geteventarmy2,geteventattacker,geteventbuilding,geteventcity,geteventdefender,geteventleaderwhodied,geteventloser,geteventtype,geteventwinner,getunittypedata,setunitbartervalueproc,setunitcostproc,setunitlevelrangeproc,setunitmaintenanceproc,setunittypedata,waseventaccepted?,waseventdeclined?
0x0055cb30	0x0055ce54	804	16	17	addmissiletype,addmounttype,defaultfringe,findemptyconnectedlocation,findemptylocation,getmissiledata,launchmissile,longmovetolocation,maxmissiletypes,maxmounttypes,mountimp,movetoward,sendchatmessage,setmapretreatimp,setmissiledata,unknowndarken,unseendarken
0x00555130	0x00555130	0	1	15	autoregions,clearfaithselection,createtemparmy,createvirtualarmy,cvn,drawimpframe,findregions,getunittypeeffectivedata,getunittypeeffectivedata_level,getunittypeeffectivedata_levelrange,identifypage,playimp,setdungeonconquer,setleveldungeonconquer,type
0x005a7990	0x005a79f0	96	13	12	adddirtyregion,currentdialog,currentdialogitem,disablearrowkeys,disablemap,enablearrowkeys,resetcombat,scrollmap,setmargin,setrtclickdelay,setrtclickdownproc,setrtclickupproc
0x00573044	0x0057323c	504	10	11	getslider,getspelldefdata,getspellinfo,getspellname,placecombatarmies,setslider,setsliderbar,setspelldefdata,setspellinfo,slider,startspellmode
0x005d2094	0x005d20bc	40	6	11	dirtyrecttestflags,getmilitaryselectionmode,getsortdirtyrects,getuseddrawblt,getwaitforblank,loadconfig,setmilitaryselectionmode,setsortdirtyrects,setuseddrawblt,setwaitforblank,stepthrublits
0x005578e0	0x00557ab8	472	10	10	beep,chronocmp,combinecontainerspots,container,getcontainerdata,getcontainerselectedoutlinecolor,setcontainerdata,setcontaineroutlinewidth,setcontainerselectedoutlinecolor,swapcontainerspots
0x0055e0fc	0x0055e438	828	22	10	cvs,dir,div,end,enummemorystatistics,idiv,memorystatistics,mod,print,testvisit
0x00583560	0x00583738	472	7	10	crop,faithselect,getgametick,getnetworkstatusdisplay,linetest,networkstatusdisplay,setusertick,showregistrationpoints,suppressnetworkmessages,toptriangle
0x005863b4	0x005863e4	48	5	9	addsoundfx,playmusicnorepeat,playterrainambiance,setambientvolume,setmaxsoundfx,setplaybacktimer,settimeraccuracy,stopmusic,this_is_demo
0x0058516c	0x0058525c	240	8	8	blttest,getmultiplayerflag,linetest,locktest,maxpalettes,playvideo_stretch,resetnetworking,testalpha
0x00587874	0x005878e4	112	11	8	arrow_scroll,coarsescrollpixels,enummemorystatistics,faithselect,finescrollpixels,memorystatistics,scrollbegindelay,scrollmap
0x0054d7e8	0x0054d818	48	3	7	cameraorientation,cameraposition,lightorientation,rotatex,rotatey,rotatez,setmargin
0x00579068	0x00579088	32	8	7	addbuildinginfo,getresearchdeltaproc,getresearchdonecallback,setbuildingbartervalueproc,setbuildingrequirements,setresearchdeltaproc,setresearchdonecallback
0x00583100	0x00583120	32	2	7	dropcode,isbuildingcombat?,iscitycombat?,isnormalcombat?,isplayerdefendingcity?,isspecialcombat?,rotatemap
0x005845ec	0x00584734	328	8	7	genericbitgetunit,getterrainspritebrain,gschecksumoff,gschecksumon,selectionbitgetunit,setterrainspritebrain,sort
0x005ccd70	0x005ccedc	364	8	7	addbestetaattackrequest,addclosestarmyrequest,lastcombattype,numattackerunits,numdefenderunits,whathappenedtoattackerunit,whathappenedtodefenderunit
0x005adc50	0x005adc50	0	1	6	getfatebits,getfatecount,getunitfate,incombatautocalc,setunitfate,testautocalc
0x0055b130	0x0055b1c0	144	4	5	addfollower,createghost,createtemparmy,createvirtualarmy,requestgame
0x0055d438	0x0055d4a0	104	5	5	getcomputername,joinnetworkgame,networkgamename,providername,setcomputername
0x00573398	0x00573464	204	3	5	gameseed,getgameseed,runestring,setspritezoommode,settemppath
0x005aec24	0x005aec60	60	6	5	currentterrainsprite,getscenarioproperty,setcitycombatproc,setnormalcombatproc,setscenarioproperty
0x005cc9d4	0x005ccabc	232	4	5	army_en_route?,currentplayer,getcurrentcombatterrainspriteprocid,getcurrentcombatterrainspritetype,settickreport
0x00557f6c	0x00557f6c	0	1	4	getproviderbackground,getproviderbuttontexture,setproviderbackground,setproviderbuttontexture
0x0055cfb0	0x0055cfb0	0	1	4	playspeech,playvideo,playvideo_stretch,playvideoshutdown
0x00586cec	0x00586d64	120	2	4	getartifactspurchased,getvirtualartifactid,setartifactspurchased,setvirtualartifactid
0x005d3810	0x005d3838	40	6	4	enumfiles,getinfectproc,setinfectproc,testvisit
0x0054d450	0x0054d528	216	3	3	adjustbartertoratio,setbuildingrequirementdata,setformation
0x0054d6c8	0x0054d6c8	0	1	3	setgateheight,setwalkheight,setwallheight
0x00583ac0	0x00583ac0	0	1	3	getmissiledata,missilewasaimed?,setmissiledata
0x005864f4	0x005864f4	0	1	3	setplaybacktimer,settimeraccuracy,stopspeech
0x0055de90	0x0055de90	0	1	2	enummemorystatistics,memorystatistics
0x0055e7d0	0x0055e7f0	32	2	2	memorystatistics,trace
0x0055e928	0x0055e92c	4	2	2	enummemorystatistics,memorystatistics
0x00583898	0x00583898	0	1	2	getlightningdata,setlightningdata
0x00585b94	0x00585b94	0	1	2	addambientsound,setambientloop
0x00586f44	0x00586f44	0	1	2	getvirtualspellid,setvirtualspellid
0x005d1f8f	0x005d1f90	1	2	2	gettemppath,settemppath
0x005d22f0	0x005d22f0	0	1	2	savedefaultarmy,showmaplocation
0x0054dab8	0x0054dab8	0	1	1	maxslope
0x0054e980	0x0054e990	16	5	1	lomlighttables
0x005586a4	0x005586a4	0	1	1	windowswaitcursorsleep
0x0055c020	0x0055c020	0	1	1	trace
0x0055ea64	0x0055ea64	0	1	1	enummemorystatistics
0x005736d0	0x005736d0	0	1	1	setfocus
0x00578f58	0x00578f5c	4	2	1	setbuildingdeltaproc
0x00583270	0x0058327c	12	4	1	setwindowswaitcursorstate
0x005ab344	0x005ab344	0	1	1	setunitdata
0x005ab920	0x005ab920	0	1	1	setunitdata
0x005ccff4	0x005ccff4	0	1	1	spellrequest
0x005d3348	0x005d3348	0	1	1	unittype
0x005d5800	0x005d5800	0	1	1	print
